Time Input_psi Output_deg
203 9.06551661503153 -22.7458118388013
204 9.00745912681678 -22.6940876375684
205 8.95388570866651 -22.651579311563
206 8.90329156065371 -22.6148680850831
207 8.84294651301481 -22.5750457048299
208 8.7823107483865 -22.5286332590191
209 8.73215034047913 -22.4766397839758
210 8.67919971499903 -22.4450768975631
211 8.63077612373226 -22.4127383357685
212 8.58025877330965 -22.3648704085936
213 8.52306331511896 -22.3132537849271
214 8.46928294495146 -22.2765389703883
215 8.44341436171151 -22.238335265479
216 8.38317143883325 -22.2062598574185
217 8.32493931726976 -22.1667040879432
218 8.28230830348552 -22.1254675355554
219 8.24577936182019 -22.08067651795
220 8.19508427619656 -22.0375320520314
221 8.16156031225094 -21.9943187075592
222 8.10486612615014 -21.9605209989774
223 8.06705062906764 -21.9263805619914
224 8.02786412735803 -21.8855576807049
225 7.97873019052469 -21.8367111157525
226 7.94066601916385 -21.7943757190842
227 7.90675324633648 -21.753741525807
228 7.86149062347059 -21.7176073266119
229 7.82907455790675 -21.6823535075511
230 7.79177835000116 -21.6415926763113
231 7.75341415536554 -21.5951403340998
232 7.71623682850184 -21.5496465537029
233 7.69106880646192 -21.5069940539628
234 7.65193835303373 -21.4670724125258
235 7.614670069523 -21.3990310518011
236 7.58406053955458 -21.223208685486
237 7.55437628172591 -21.0978434593313
238 7.52433000168393 -21.0528900817543
239 7.49436424346187 -20.9251817022485
240 7.46560433732669 -20.7588701937719
241 7.44290729120457 -20.6891666345464
242 7.40640600335467 -20.5859836115752
243 7.37353459047974 -20.4962064994658
244 7.34659511029751 -20.3914265495916
245 7.31896634970381 -20.2838657830088
246 7.2978569318534 -20.2098385329805
247 7.27407481640065 -20.141665150706
248 7.25063037554403 -20.0407352530601
249 7.22900080445512 -19.9485963173906
250 7.21155024367636 -19.8782058541288
251 7.18938246562322 -19.7998408962748
252 7.16512642275956 -19.7378479872177
253 7.14704452743158 -19.6764395756568
254 7.12914504293141 -19.5897241685537
255 7.11125571130824 -19.502612415864
256 7.09109735560132 -19.4308242444938
257 7.07640744921764 -19.3547923490768
258 7.06379106453798 -19.302122023124
259 7.04350468072411 -19.2111356646323
260 7.03104892857025 -19.1596590658481
261 7.01579536220241 -19.1078161600988
262 7.0045908813751 -19.0397032981519
263 6.99182397528593 -18.9665567029617
264 6.97606324820034 -18.9050160138789
265 6.96510565910437 -18.8408075267665
