"Time Steps" "Input pressure setpoint(psi)" "Output Angle (deg)"
241 9.00240127494711 10.7528518563244
242 9.02720893533754 10.770969210557
243 9.05279529745633 10.7952329267441
244 9.07753125762782 10.8080459753681
245 9.10140026228291 10.8098723105909
246 9.12678779480281 10.8207859740591
247 9.15109209220489 10.8343158051237
248 9.17503991882048 10.8463937686168
249 9.20063979199789 10.8596319265346
250 9.22493666111668 10.8689609412104
251 9.25039110549194 10.8817542830343
252 9.27690954588773 10.8969159574195
253 9.30203670098601 10.9157184986011
254 9.32677724363421 10.9205005987045
255 9.3525022050426 10.9361213012545
256 9.37605240270336 10.9526779740473
257 9.40164676722403 10.9840816718783
258 9.42701897974494 10.9980835964139
259 9.45181749330857 11.0152021247058
260 9.4770999223839 11.0286612908588
261 9.50167385934858 11.0429451113581
262 9.52740183401095 11.0643997681391
263 9.55236305418669 11.0768459590423
264 9.57740291708553 11.0935813124051
265 9.60192575972464 11.0972139427729
266 9.62704473531768 11.1285624051804
267 9.65223128998359 11.1272245164696
268 9.67680703399558 11.1477305840929
269 9.70259027295309 11.1724163121247
270 9.72702227863602 11.1859115909274
271 9.75139625410718 11.2008642010509
272 9.77675065511553 11.2188203902478
273 9.802267991204 11.2332438084397
274 9.82740692523359 11.2301026232734
275 9.85185013573658 11.2362824652407
276 9.87720998192563 11.2467644254059
277 9.90179681896466 11.2781532543806
278 9.92697701423195 11.2801892895925
279 9.95168331209145 11.2916269638401
280 9.97609729274104 11.3053683266494
281 10.0018771352017 11.3198252611768
282 10.0266810993812 11.3300318534735
283 10.0518848913538 11.3459900713433
284 10.07689060627 11.3636633866967
285 10.1024501274228 11.3796758600407
286 10.1275084892442 11.3931235474264
287 10.1525280840194 11.413166056712
288 10.1768339906701 11.4268078130703
289 10.2016444674862 11.4451439450693
290 10.2266498952828 11.4616985153378
291 10.2512926744795 11.4783127312857
292 10.2761625752601 11.4901437408914
293 10.3011322239794 11.5041352059308
294 10.3265029612321 11.5058875567036
295 10.3519929575827 11.5188838733831
296 10.3758879778082 11.5309349564885
297 10.4017317978699 11.545618472995
298 10.4269960765431 11.5589470722122
299 10.4512346714722 11.5754573971739
300 10.4761819071985 11.586934667996
301 10.5012634824546 11.6024881120192
302 10.5256642578136 11.6348691815437
303 10.551703926069 11.6296513142073
304 10.5765128273813 11.6492646706047
305 10.6018192525902 11.6759772496932
306 10.6269079506423 11.6749238945777
307 10.6516236494981 11.6974041165988
308 10.6756237950341 11.7099840142529
309 10.7003174924071 11.7245423664625
310 10.7256885921364 11.7440838483347
311 10.7514091391092 11.7604785624397
312 10.7768812720779 11.7739453290476
313 10.8020108949331 11.7905862187047
314 10.8276006280036 11.801685546864
315 10.8517715899318 11.8181331255973
316 10.8765925214308 11.8353117921489
317 10.9013723279318 11.8512165586147
318 10.926670078726 11.8624867753753
319 10.951737091648 11.8768294437156
320 10.9768610105283 11.8891422398165
321 11.0018241113948 11.9062037216034
322 11.0270366605218 11.9272463300003
323 11.0504961029127 11.9542025978647
324 11.0766635475286 11.9799602594233
325 11.1016533409756 12.0015246554484
326 11.1268555934132 12.0247000402622
327 11.1516851671129 12.0442644757988
328 11.1763780286381 12.0596444204228
329 11.2017184917359 12.0754675821223
330 11.2271364110948 12.0861280643512
331 11.2524446807899 12.094037877022
332 11.2770569476927 12.101117221313
333 11.3024275271026 12.140176857905
334 11.3272060725978 12.1474599085423
335 11.3519946900342 12.1665555611038
336 11.3770087126579 12.1860970934417
337 11.4020669582423 12.2053552068897
338 11.4272715201052 12.2188015780351
339 11.4525244061697 12.2381083510249
340 11.4767861518409 12.2454148693632
341 11.5011404066001 12.2658710236826
342 11.5266547894975 12.2809022045657
343 11.5519166901414 12.2976057210704
344 11.5764067378264 12.3104631817293
345 11.6022741200476 12.3243114175783
346 11.6268668947798 12.3348919191834
347 11.6524991070492 12.3494060181908
348 11.6769416055975 12.361973519304
349 11.7020172886453 12.376672117001
350 11.7266552167104 12.3853792668379
351 11.7516531440326 12.3919200151448
352 11.7767622693223 12.4025400040648
353 11.8011968247708 12.4167528160394
354 11.8270526596402 12.4269722115611
355 11.8515691605881 12.3950604367128
356 11.8774558592614 12.2607934878359
357 11.9022386583011 12.3795328779354
358 11.9270774148892 12.4828138747606
359 11.9523773556732 12.2982995215114
360 11.9771277605073 12.4518680318965
361 12.0013201173618 12.4555468447757
362 12.0268339071709 12.6389953460867
363 12.0520606529775 12.5677729079912
364 12.0771453246196 12.6494210983861
365 12.1020906493511 12.6519624598431
366 12.1265735950812 12.5928560215845
367 12.1510694511378 12.6111305517577
368 12.1773366183992 12.6318150721004
369 12.201687271988 12.6451392830699
370 12.2267860763354 12.6619273153957
371 12.2521495146789 12.7042442591698
372 12.2767985288382 12.7163197683573
373 12.3017701566967 12.7316804048716
374 12.3268609642162 12.7462132954885
375 12.3511748998024 12.7589339430536
376 12.3766267239525 12.7789906900989
377 12.400843585657 12.7996235996948
378 12.4247424679445 12.8103402557246
379 12.4497324239469 12.8221281503235
380 12.475027609201 12.8354866981463
381 12.5021405555504 12.8391261077504
382 12.5284971812198 12.8475336563768
383 12.553359196927 12.864664259766
384 12.5776253971517 12.8755368536442
385 12.6031951807623 12.8909941189132
386 12.6283286589862 12.9289548064885
387 12.6538704651333 12.9251708995278
388 12.6785653650202 12.9392580524822
389 12.7037841191286 12.9730893325844
390 12.7277074624046 12.9853318481195
391 12.7540966307047 13.0006809248507
392 12.7779559148373 13.0125661652124
393 12.8029402814971 13.0259149843818
394 12.827615308003 13.0401640302281
395 12.85293640453 13.0585728982455
396 12.8778892616226 13.1421669238485
397 12.9031455906999 13.0801932167441
398 12.9287226002333 13.0931939332653
399 12.9541011827953 13.1019331113478
400 12.9783080031909 13.1204593826052
401 13.0030697249689 13.1403661963252
402 13.0282221524478 13.1508103872331
403 13.0535647277263 13.1677240434055
404 13.0783575240821 13.2752023415996
405 13.1036651876644 13.2962943935845
406 13.1287229783563 13.309488075333
407 13.1532665659542 13.326605959685
408 13.1779707426662 13.3440277938794
409 13.2022186315984 13.357493488205
410 13.2255325193915 13.3793034070675
411 13.2505009656961 13.3975909045921
412 13.2749894382276 13.4073168713059
413 13.3012142825967 13.4204904403957
414 13.3291586268524 13.4444980844613
415 13.3536300937824 13.4608225979653
416 13.3786146266056 13.4752870182124
417 13.4037126660498 13.4946727690538
418 13.4289405557719 13.5097947287161
419 13.4537813462208 13.5281425436123
420 13.4790373922884 13.544555863401
421 13.5037490892425 13.569326977384
422 13.5288750638935 13.5778473514799
423 13.5538022709751 13.5932746218446
424 13.5787891667288 13.6061350931726
425 13.6033841072174 13.6303412141066
426 13.6284364509001 13.6566717490732
427 13.6532748985955 13.6873770028316
428 13.6786785964908 13.712358604383
429 13.7037035360182 13.736538443213
430 13.7285764282848 13.7582008319952
431 13.7535265667626 13.7801817505119
432 13.7780791310995 13.7992771766769
433 13.8024754689097 13.8224604890329
434 13.8285550189714 13.8399205777732
435 13.8529137646955 13.8619285224453
436 13.878480555715 13.8821936558707
437 13.9037133494383 13.9061047824412
438 13.928812174558 13.9236558184324
439 13.95364297687 13.9451565493876
440 13.9784926520524 13.9626520662902
441 14.0033131111391 13.9859009669716
442 14.0253560716813 14.0034170177594
443 14.0498240997022 14.0243166548884
444 14.0751139081679 14.0385970413443
445 14.0998833772201 14.0559531275897
446 14.1253286607262 14.0768759280524
447 14.1510725536146 14.0979610514505
448 14.1752038888011 14.1137219555444
449 14.2007697113183 14.137841464473
450 14.2247681227798 14.1521162377732
451 14.2502939530398 14.1707241009753
452 14.2758704496293 14.1904749126371
453 14.3000851266281 14.2076171884461
454 14.3281172152172 14.2217572111635
455 14.3536019456704 14.238902957082
456 14.3780911471391 14.2532744588088
457 14.4029611017191 14.271992899042
458 14.428647739012 14.2861416210549
459 14.4530350647345 14.3055333439205
460 14.4785203129605 14.3250034700858
461 14.5035201167414 14.3538685022871
462 14.5287815476404 14.3738308432779
463 14.5534121089518 14.3980664452525
464 14.5786586392257 14.4217433450316
465 14.6037812743608 14.4477869523636
466 14.627602875806 14.4646873770395
467 14.6535128864366 14.4864121235564
468 14.6779657407356 14.5039394628176
469 14.7036188826422 14.5267976246356
470 14.7284290924879 14.545658586238
471 14.7540141250163 14.5667757748052
472 14.7780982474558 14.5835115359962
473 14.8026164887046 14.5992621334806
474 14.8282433478352 14.6214539959115
475 14.8537950343167 14.643956791196
476 14.8783425806155 14.6620108082996
477 14.9038105894244 14.6840227370284
478 14.9283687038861 14.7049155212887
479 14.9533716964588 14.7224326086517
480 14.9785272714088 14.7401687220012
481 15.002920058969 14.7611612411145
482 15.025379135075 14.776447443645
483 15.0501648842947 14.7954234683716
484 15.0756894715799 14.8102354144965
485 15.1000934292151 14.831461500764
486 15.1259148997851 14.8512953093728
487 15.1512464939923 14.8695902468631
488 15.1760021324629 14.8821864843992
489 15.2008364711339 14.8979124198301
490 15.2260355062429 14.9162336973997
491 15.2506951678841 14.9389736339533
492 15.2754402624541 14.9584048655592
493 15.3006606357345 14.9830903505182
494 15.3265440511582 15.0088425378087
495 15.3513303029533 15.0304735238233
496 15.376438761725 15.0651556260035
497 15.4010285669544 15.102410613196
498 15.4260383891481 15.1238874816834
499 15.4513219381461 15.1467819023779
500 15.4765170133704 15.1627422757681
501 15.5018408698876 15.1789112180434
502 15.5257717600841 15.17028426218
503 15.5513707797932 15.1938478754426
504 15.5761699025225 15.2092470632734
505 15.60132919519 15.2514284781663
506 15.6258583615654 15.2786526900486
507 15.6508386755832 15.3069936781567
508 15.6759080102509 15.3196121444838
509 15.7007328927546 15.3348337719015
510 15.7261582104008 15.3528903506348
511 15.7502750797806 15.3728223546204
512 15.7753599817999 15.3940331557762
513 15.8003638976363 15.4108197351368
514 15.8267354372884 15.4245047319841
515 15.8504119558622 15.4494747942594
516 15.8751803737684 15.4775048349433
517 15.9007981782549 15.5011363008115
518 15.9257474860388 15.5168563021537
519 15.9507060713421 15.5353394270617
520 15.976147607612 15.5588107787684
521 16.0007281724796 15.5821845985751
522 16.0262480225586 15.5961798938208
523 16.0509507495057 15.6186731249578
524 16.075533634572 15.6371794917695
525 16.1010344956812 15.6675102435042
526 16.125477620758 15.6813103305416
527 16.1511768015363 15.701351710966
528 16.1762591988683 15.7220565536174
529 16.2006246567332 15.7513662071063
530 16.2260661667064 15.7683363954398
531 16.2512447659768 15.788993968656
532 16.275541805745 15.8033091854902
533 16.3009682491627 15.8210060434726
534 16.3262546288912 15.8405529067918
535 16.3511315336591 15.8575628274066
536 16.3756086496358 15.8703244723716
537 16.4019324807664 15.903549109314
538 16.4255542218563 15.9174902385293
539 16.4516383247035 15.9377005287285
540 16.4769061039556 15.9513481054668
541 16.5015586464691 15.9690995743802
542 16.5260133823393 15.9871896969531
543 16.5510854377843 16.003394270779
544 16.5769667598023 16.0178847378366
545 16.6018868709357 16.039582409496
546 16.626049327931 16.0635161423594
547 16.6519779887743 16.0774895595637
548 16.6768014199164 16.1073801808708
549 16.7016475459911 16.1325539689847
550 16.7260052658226 16.1572485701221
551 16.7515481882914 16.176874205229
552 16.7760712516421 16.194250893495
553 16.8011830173997 16.2210754943465
554 16.8257386393462 16.2368192089021
555 16.8501387230379 16.256784041318
556 16.8763928233441 16.2736635243422
557 16.9009397632823 16.2982565432155
558 16.9264945203179 16.3186812062421
559 16.9511140615539 16.3375236482305
560 16.9764455377518 16.36136619019
561 17.0013339774164 16.3841362779462
562 17.0258101088006 16.3984934580191
563 17.0512705518127 16.4187045954867
564 17.0762805338963 16.431652576768
565 17.1008436595659 16.452196462275
566 17.1256647500155 16.4745718600228
567 17.1520920444228 16.4941542473603
568 17.1777132191452 16.5107412139829
569 17.2017815776162 16.532817961749
570 17.2270523709573 16.5465256508105
571 17.2521115828841 16.5661981681689
572 17.2774488615632 16.5787239253268
573 17.3016532671496 16.5953711788156
574 17.3261121276577 16.6137417549446
575 17.3511918708624 16.6300433818829
576 17.376171939118 16.6315937260688
577 17.4010152546233 16.6679906311964
578 17.4261121439801 16.6817241545996
579 17.4520633508198 16.7082593009322
580 17.4769581127801 16.7248571752041
581 17.5010670661662 16.7493364743378
582 17.5261470870214 16.7721880189394
583 17.5509962380171 16.7920423280444
584 17.5761776424159 16.8121601795905
585 17.601516841146 16.8482307034893
586 17.6253293323412 16.8628077840286
587 17.6521387033723 16.8760776166539
588 17.6766597928127 16.9015886391448
589 17.7011418433222 16.9262355690754
590 17.7265857112042 16.9447197513149
591 17.751444570397 16.9714699058807
592 17.7760950426004 16.9902185127195
593 17.8002769747669 16.9320785095967
594 17.8262579434928 16.9753541949057
595 17.8515066569753 16.9936622090332
596 17.8766269542105 17.006560918407
597 17.9011784552901 17.0312941399552
598 17.925957368363 17.0605211455546
599 17.9512390999567 17.0568044138153
600 17.9756339185696 17.0877398515935
601 18.0012596060361 17.0858563371793
602 18.0264347345642 17.1152862615151
603 18.0495482935502 17.1333189248199
604 18.073138659695 17.1547611474546
605 18.0999336700115 17.1600226058995
606 18.1256235224388 17.1796199347664
607 18.1512676188989 17.1962770270866
608 18.176236857978 17.2096157129097
609 18.2011815377789 17.2316525040966
610 18.2264404218609 17.2571794181363
